Week,Year,Store,CakeType,Returns,ReturnAmount,WeekIndex
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CARROT,6.0,717.5999999999999,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,19.0,2141.3,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,VANILLA,2.0,225.4,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,COFFEE,1.0,120.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,DARKM,2.0,240.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,2.0,239.2,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,1.0,112.7,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,4.0,450.8,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CARROT,2.0,239.2,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,1.0,112.7,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,VANILLA,4.0,450.8,5
